column,missing_count,missing_rate
anchor_1_return_volatility,0,0.0
anchor_2_return_volatility,0,0.0
anchor_correlation,0,0.0
beta_1,0,0.0
beta_1_stability,0,0.0
beta_2,0,0.0
beta_2_stability,0,0.0
beta_stability,0,0.0
correlation_stability,0,0.0
distance_from_moving_average,0,0.0
entry_abs_z,0,0.0
entry_z_score,0,0.0
event_date,0,0.0
event_id,0,0.0
exit_reason,0,0.0
half_life_estimate,0,0.0
hedge_symbol_1,0,0.0
hedge_symbol_2,0,0.0
holding_period,0,0.0
label,0,0.0
market_return,0,0.0
method,0,0.0
outcome,0,0.0
recent_drawdown,0,0.0
residual,0,0.0
residual_autocorrelation,0,0.0
residual_change,0,0.0
residual_volatility,0,0.0
rolling_r_squared,0,0.0
sector_return,0,0.0
side,0,0.0
target_anchor_1_correlation,0,0.0
target_anchor_2_correlation,0,0.0
target_return_volatility,0,0.0
target_symbol,0,0.0
triplet_id,0,0.0
volume_shock,0,0.0
z_score,0,0.0
